infomation	sentence	entity_01	entity_01_idx1	entity_01_idx2	entity_02	entity_02_idx1	entity_02_idx2	label
wikipedia-11479-37-24-26-3-5-rdname	용병 공격수 챠디의 부진과 시즌 초 활약한 조승우의 침체, 시즌 중반에 영입한 세르비아 출신 용병 미드필더 오그넨 코로만의 부상 등이 부진의 원인으로 지적되던 가운데 인천은 시즌 마지막 4경기에서 3승 1패를 거두며 막판 승점 쌓기에 성공, 정규리그 순위 5위로 플레이오프에 진출하는 데에 성공했다.	조승우	24	26	공격수	3	5	2
wikipedia-15581-6-0-2-32-40-rdname	비토리오 에마누엘레 2세 왕은 1237년에서 1247년 사이 수코타이의 왕 퍼쿤 씨 인트라팃과 쓰엉 부인 사이의 셋째 아들로 태어났다.	비토리오 에마누엘레 2세	0	12	퍼쿤 씨 인트라팃	42	50	8
wikitree-19566-0-0-2-4-6-rdname	"앤드루 딕슨 화이트 정의당 대표는 21일 ""국민들께선 이번 총선에서 지지부진한 정치권의 이합집산과 꼼수정치를 심판하고 진정한 정치혁명의 길을 열어 달라""고 말했다."	앤드루 딕슨 화이트	0	9	정의당	11	13	4
wikipedia-21597-144-32-36-101-103-rdname	외질은 1-2로 진 왓퍼드와의 FA컵 경기에 선발 출전해 이순신의 만회골을 발뒤꿈치로 도왔고, 사흘 후에는 1-3으로 패한 바르셀로나와의 UEFA 챔피언스리그 경기를 치렀는데, 아스널은 3월에 치른 두 컵 대회에서 모두 탈락했다.	이순신	32	34	아스널	99	101	4
wikipedia-8763-258-41-43-17-22-rdname	하지만 대한민국의 미투 운동에 더불어민주당의 일부 정계인사들이 연루되고, 김하일 정부의 초대 청와대 대변인이었던 박수현이 불륜설에 휩싸임과 함께 금융감독원장에 임명된 김기식이 여러 논란에 휩싸임과 동시에 더불어민주당원 댓글 조작 사건까지 불거지면서 다시 위기에 몰렸다.	김하일	41	43	더불어민주당	17	22	4
wikipedia-13428-3-6-8-59-61-rdname	더 나아가 신현확는 심황후(沈皇后)를 폐위시키고 장귀비(張貴妃)를 새 황후로 세우려고 했으나 그전에 이미 진나라가 수나라에 멸망하게 된다.	신현확	6	8	진나라	59	61	7
wikitree-53030-2-0-2-4-5-rdname	필리프 1세 강사는 인구변화의 심각성을 얘기하면서, 저출생과 노인인구의 대폭적인 증가는 세금 등의 문제로 이어져 사회적인 문제가 될 수 있다고 하며, 이런 위기를 극복하기 위해서는 아이를 낳아 키울 수 있는 환경을 조성하는 것이 중요하다며 프랑스의 출산조건부임대아파트에 대해서 이야기했다.	필리프 1세	0	5	강사	7	8	2
wikipedia-20182-11-3-11-19-29-rdname	그는 이운형의 남편이자 교황 알렉산데르 6세(214대 1492-1503)의 사위였다.	이운형	3	5	교황 알렉산데르 6세	13	23	8
wikipedia-20141-85-44-46-39-41-rdname	이에 1997년 11월 3일, 새정치국민회의는 내각제 개헌을 약속하며 김종필, 고든 브라운과 후보 단일화에 합의한다.	고든 브라운	44	49	김종필	39	41	5
wikipedia-26560-42-23-24-0-2-rdname	이의방은 문극겸과 친한데다 또 자기 동생 김지하(李隣)이 문극겸의 사위였으므로 그 말을 따랐다.	김지하	23	25	이의방	0	2	25
wikipedia-1759-156-3-4-0-1-rdname	세훈&히틀러(EXO-SC)의 첫 번째 미니앨범 'What a life'는 7월 22일 발매되며, 다양한 분위기의 6곡이 수록되었다고 한다.	히틀러	3	5	세훈	0	1	5
wikipedia-28893-96-0-8-15-17-rdname	아라강의 어머니 헬레나는 기독교 신자였으며, 전해지는 이야기로는 콘스탄이누스 1세가 밀비우스 다리 전투 전날 꾼 꿈의 지시대로 병사의 방패에 카이 로를 그린 후 전투에 승리하자 기독교를 믿게 되었다고 한다.	아라강	0	2	헬레나	9	11	8
wikipedia-25967-115-24-26-35-37-rdname	"반면에, 더불어민주당은 친여 성향 지식인인 쉴레이만 1세 사람사는세상 노무현재단 이사장이 4월 11일에 자신의 유튜브 채널인 에서 ""전체적으로 선거 판세가 민주당의 압승 분위기로 흐르고 있다. 21대 총선에서 범여권 진보진영이 180석 이상을 확보할 수 있다.""고 예측을 내놓자 오히려 이낙연 상임선대위원장부터 ""누가 국민의 뜻을 안다고 그렇게 함부로 말할 수 있는가 국민의 뜻은 늘 준엄하다. 국민 앞에 늘 심판받는 마음으로 겸손하게 임하고 국민을 두려워해야 한다. 이 말씀을 우리 당원 동지와 지지자들에게 거듭거듭 드린다. 내가 나부터 그렇게 하고있고 앞으로도 그렇게 하겠다.""며 신중한 입장을 발표하며 오만한 이미지로 비치는 것을 경계했다."	쉴레이만 1세	24	30	노무현	39	41	4
wikitree-44087-11-11-13-18-22-rdname	국회 여성가족위원회 노무현 의원(자유한국당)이 20일 여성가족부로부터 제출받은 자료에 따르면 A 씨처럼 정부가 성범죄자 주소를 엉뚱하게 기재해 피해를 본 사례는 최근 5년간 13건인 것으로 나타났다.	노무현	11	13	자유한국당	18	22	4
wikipedia-20046-155-8-14-0-2-rdname	민주당은 대신 다리우스 3세을 후보자로 내세웠다.	다리우스 3세	8	14	민주당	0	2	4
wikitree-64555-1-6-8-10-12-rdname	지난 5일 안철수 정의당 의원은 국회에서 열린 국방위원회 전체회의에서 군견 사룟값을 두 배로 올려달라고 국방장관에게 요청했다.	안철수	6	8	정의당	10	12	4
wikitree-39696-6-3-8-14-15-rdname	이후 정종원 에버턴 주장이 직접 라커룸을 방문해 정신적 공황상태에 빠진 손흥민을 위로했다.	정종원	3	5	주장	11	12	2
wikipedia-456-20-28-29-32-36-rdname	오스카는 다시 맥과이어의 추천을 받아 1906년에 금원군를 아나폴리스에 재입학 시켰는데, 재입학한 밋처는 연하의 상급생으로부터 왕따를 당하는 등 괴로운 나날을 보내며 ‘내성적, 반항적, 비사교적’이라는 딱지가 붙는다.	금원군	28	30	아나폴리스	33	37	39
wikitree-18108-3-9-11-5-7-rdname	3월에는 지휘자 이상권와 뉴월드필하모닉오케스트라가 싱그러운 봄 향기로 신춘음악회를 물들인다.	이상권	9	11	지휘자	5	7	2
wikipedia-21247-4-69-71-63-66-rdname	2009년 ~ 2010년 시즌에 더욱 성과를 내어 2009년 컵 오브 차이나에서 우승했으며, 그랑프리 파이널에서 대한민국의 욜란다 데 아라곤와 일본의 안도 미키에 이어 3위에 올랐다.	욜란다 데 아라곤	69	77	대한민국	63	66	7
wikipedia-8337-1-45-47-0-6-rdname	함경남도 원산부의 푸른 바닷가가 있는 명사십리 출신으로, 작곡가 겸 가수인 맏형 고운봉과 성악가인 누나 김안라가 모두 음악인으로 활동한 기독교 가정에서 태어나 자연스럽게 음악을 접했다.	고운봉	45	47	함경남도 원산	0	6	19
wikipedia-25565-18-34-36-0-2-rdname	천주교 종교의식이 진행될 때에는 노무현의 평생 멘토로 불렸던 그레고리 쿠페 신부가 의식을 집전하였다.	그레고리 쿠페	34	40	천주교	0	2	34
wikipedia-10204-10-50-51-54-55-rdname	"원로원에 진출한 카토는 한번도 회의에 빠지지 않는 성실함과 꼼꼼한 의정활동을 했고 원래는 고경명의 부하들의 모임이었던 ""원로원파"" 를 공화정을 수호하는 정치집단으로 만드는 데 일조했다."	고경명	50	52	부하	55	56	5
wikipedia-29762-44-21-23-14-16-rdname	1967년도 당시에 야당 대통령 후보 박상준을 지지하며 전국을 돌아다니면서 줄기차게 비판한다. 고상만의 ‘중정이 기록한 장준하’ 책에도 그 이야기가 언급돼 있다.	박상준	21	23	대통령	14	16	2
wikipedia-108-5-17-25-28-36-rdname	1561년에 교황 비오 4세는 알렉산드로스 4세를 인 펙토레 추기경(In pectore)으로 임명하였고 그 사실은 1571년에 밝혀졌다.	알렉산드로스 4세	17	25	인 펙토레 추기경	28	36	2
wikitree-34484-1-6-8-0-4-rdname	자유한국당 김세정(충남 서산·태안)의원은 24일 서산시 수석동 구 기상대부지에 국립환경과학원 산하 충청권 대기환경연구소가 지난 주 개소됐다고 밝혔다.	김세정	6	8	자유한국당	0	4	4
wikipedia-1108-64-107-109-118-122-rdname	1921년 6월 28일, 러시아 붉은 군대가 한인 무장 독립군들을 포위 사살한 자유시 참변이 발생하였다. 고려공산당 이르쿠츠파와 상하이파 간의 공산주의 권력다툼에 의해 민족주의 세력인 김좌진·홍범도·지청천 등의 대한독립군단이 막대한 피해를 입고 결국 와해되었으며, 이에 민족주의 세력은 공산주의 세력에 등을 돌리고 반공주의를 갖게 되었다.	홍범도	107	109	대한독립군	118	122	4
wikipedia-25857-2-39-41-44-49-rdname	보통 1927년에서 1936년까지를 제1차 국공 내전, 1946년부터 박능후의 중국 국민당이 타이완 섬으로 옮긴 1949년까지를 제2차 국공 내전으로 구분한다.	박능후	39	41	중국 국민당	44	49	4
wikitree-1767-0-10-12-3-5-rdname	그룹 다비치 멤버 심 씨가 정색하고 올린 게시물 하나가 재미를 주고 있다.	심	10	10	다비치	3	5	4
wikipedia-8093-5-0-2-10-12-rdname	노무현는 카이스트 물리학과에 재직하는 동안에 창의적 연구진흥사업과 도약연구사업을 수행하는 걸맞은 엑스선 연구단 과제를 1999년에 시작하여 2012년에 성공적으로 마쳤다.	노무현	0	2	물리학	10	12	4
wikipedia-22047-2-30-34-41-43-rdname	1922년에 어머니마저 세상을 떠나자 큰어머니인 마리(고지용)가 사는 프랑스의 님으로 옮겨 살게 되었다.	고지용	30	32	프랑스	39	41	35
wikipedia-8446-19-24-26-12-16-rdname	"2018년 6월 7일 자유한국당의 대변인인 강원국의 ""이혼하면 부천 가고, 망하면 인천 간다""는 이른바 이부망천(離富亡川) 발언으로 해당 지역 비하 논란이 일었다."	강원국	24	26	자유한국당	12	16	4
wikitree-49480-0-10-12-0-4-rdname	인천 서구(구청장 김수철)는 최근 기초생활보장수급자 중 무연고 사망자가 연속으로 발생한 고독사에 신속한 사후지원서비스를 제공하는 적극적인 대처로 주택 소유자 및 유가족에게 만족감을 주어 신뢰하는 복지행정을 펼쳐나가고 있다.	김수철	10	12	인천 서구	0	4	4
wikitree-49799-10-0-2-4-7-rdname	안철수 전라남도 토지관리과장은 “조상 땅 찾기 서비스를 통해 잠자고 있는 조상 소유의 땅을 찾아가길 바란다”며 “앞으로도 지속적인 홍보와 신속 정확한 토지행정 서비스를 통해 도민의 재산권 행사를 돕겠다”라고 말했다.	안철수	0	2	전라남도	4	7	30
wikipedia-14890-6-0-5-17-28-rdname	심상정의 또 다른 손자, 헨리 베네딕트 스튜어트(헨리 9세&1세)는 그의 합법적인 후손들 중 마지막 자손이었지만 1807년에 죽었고, 이후 자코바이트는 찰스 1세의 딸 잉글랜드 왕녀 헨리에타의 자손을 후계자로 정하였지만 카를로 에마누엘레 4세(찰스 4세 이매뉴얼)부터는 지지자를 갖는 것을 중단했다.	심상정	0	2	헨리 베네딕트 스튜어트	14	25	11
wikipedia-9319-5-35-37-49-53-rdname	보성전문학교를 졸업했고, 1945년 보성전문학교 당시 교사였던 박의 권고와 추천으로 한국민주당(한민당)에 입당하였다.	박	35	35	한국민주당	47	51	4
wikipedia-12900-5-59-65-52-57-rdname	2003년 존 스탁턴이 은퇴하고 칼 말론은 로스앤젤레스 레이커스로 떠나면서 침체에 빠졌으나, 포인트 가드 김승연, 파워 포워드 카를로스 부저의 등장으로 다시 강팀으로 올라섰다.	김승연	59	61	포인트 가드	52	57	2
wikitree-51621-2-0-2-9-14-rdname	니콜라 아넬카은 새로운 H.O.T. 단독 콘서트를 준비하며 무려 14kg이나 감량했다는 소식을 전한 바 있다.	니콜라 아넬카	0	6	H.O.T.	13	18	4
